ticker,date,adjclose,close,currency
IEAC.L,2009-03-01,78.43138122558594,102.0,EUR
IEAC.L,2009-03-31,80.69974517822266,104.94999694824219,EUR
IEAC.L,2009-04-30,82.1838150024414,106.87999725341797,EUR
IEAC.L,2009-05-31,82.791259765625,107.66999816894531,EUR
IEAC.L,2009-06-30,85.6209487915039,111.3499984741211,EUR
IEAC.L,2009-07-31,86.35911560058594,112.30999755859375,EUR
IEAC.L,2009-08-31,87.50483703613281,113.80000305175781,EUR
IEAC.L,2009-09-30,88.25069427490234,114.7699966430664,EUR
IEAC.L,2009-11-01,88.89659881591797,115.61000061035156,EUR
IEAC.L,2009-12-01,86.88198852539062,112.98999786376953,EUR
IEAC.L,2010-01-01,88.32758331298828,114.87000274658203,EUR
IEAC.L,2010-02-01,88.8350830078125,115.52999877929688,EUR
IEAC.L,2010-03-01,89.71165466308594,116.66999816894531,EUR
IEAC.L,2010-03-31,90.18070983886719,117.27999877929688,EUR
IEAC.L,2010-04-30,88.50444793701172,115.0999984741211,EUR
IEAC.L,2010-05-31,88.55059051513672,115.16000366210938,EUR
IEAC.L,2010-06-30,89.62706756591797,116.55999755859375,EUR
IEAC.L,2010-07-31,91.1341781616211,118.5199966430664,EUR
IEAC.L,2010-08-31,90.93429565429688,118.26000213623047,EUR
IEAC.L,2010-09-30,90.80355834960938,118.08999633789062,EUR
IEAC.L,2010-11-01,89.48868560791016,116.37999725341797,EUR
IEAC.L,2010-12-01,87.22798156738281,113.44000244140625,EUR
IEAC.L,2011-01-01,87.2664566040039,113.48999786376953,EUR
IEAC.L,2011-02-01,87.98924255371094,114.43000030517578,EUR
IEAC.L,2011-03-01,87.7739486694336,114.1500015258789,EUR
IEAC.L,2011-03-31,88.20457458496094,114.70999908447266,EUR
IEAC.L,2011-04-30,89.28108215332031,116.11000061035156,EUR
IEAC.L,2011-05-31,87.3125991821289,113.55000305175781,EUR
IEAC.L,2011-06-30,88.0046157836914,114.44999694824219,EUR
IEAC.L,2011-07-31,86.33605194091797,112.27999877929688,EUR
IEAC.L,2011-08-31,85.5748062133789,111.29000091552734,EUR
IEAC.L,2011-09-30,87.44332885742188,113.72000122070312,EUR
IEAC.L,2011-11-01,84.87505340576172,110.37999725341797,EUR
IEAC.L,2011-12-01,85.46717071533203,111.1500015258789,EUR
IEAC.L,2012-01-01,87.98924255371094,114.43000030517578,EUR
IEAC.L,2012-02-01,89.6424560546875,116.58000183105469,EUR
IEAC.L,2012-03-01,90.3498764038086,117.5,EUR
IEAC.L,2012-03-31,90.01155090332031,117.05999755859375,EUR
IEAC.L,2012-04-30,90.36527252197266,117.5199966430664,EUR
IEAC.L,2012-05-31,88.9273681640625,115.6500015258789,EUR
IEAC.L,2012-06-30,90.94967651367188,118.27999877929688,EUR
IEAC.L,2012-07-31,91.73397827148438,119.30000305175781,EUR
IEAC.L,2012-08-31,92.69512939453125,120.55000305175781,EUR
IEAC.L,2012-09-30,93.74087524414062,121.91000366210938,EUR
IEAC.L,2012-11-01,94.54058074951172,122.94999694824219,EUR
IEAC.L,2012-12-01,93.88314056396484,122.09500122070312,EUR
IEAC.L,2013-01-01,92.60285949707031,120.43000030517578,EUR
IEAC.L,2013-02-01,93.77935791015625,121.95999908447266,EUR
IEAC.L,2013-03-01,94.27913665771484,122.61000061035156,EUR
IEAC.L,2013-03-31,95.53250885009766,124.23999786376953,EUR
IEAC.L,2013-04-30,95.23262023925781,123.8499984741211,EUR
IEAC.L,2013-05-31,93.73247528076172,120.23999786376953,EUR
IEAC.L,2013-06-30,94.57440948486328,121.31999969482422,EUR
IEAC.L,2013-07-31,94.21580505371094,120.86000061035156,EUR
IEAC.L,2013-08-31,94.93299102783203,121.77999877929688,EUR
IEAC.L,2013-09-30,96.02435302734375,123.18000030517578,EUR
IEAC.L,2013-11-01,96.25039672851562,123.47000122070312,EUR
IEAC.L,2013-12-01,95.86324310302734,121.43000030517578,EUR
IEAC.L,2014-01-01,97.07112121582031,122.95999908447266,EUR
IEAC.L,2014-02-01,97.55266571044922,123.56999969482422,EUR
IEAC.L,2014-03-01,97.98688507080078,124.12000274658203,EUR
IEAC.L,2014-03-31,98.89472961425781,125.2699966430664,EUR
IEAC.L,2014-04-30,99.6842041015625,126.2699966430664,EUR
IEAC.L,2014-05-31,100.33137512207031,125.52999877929688,EUR
IEAC.L,2014-06-30,100.85888671875,126.19000244140625,EUR
IEAC.L,2014-07-31,101.98584747314453,127.5999984741211,EUR
IEAC.L,2014-08-31,102.09773254394531,127.73999786376953,EUR
IEAC.L,2014-09-30,102.5693130493164,128.3300018310547,EUR
IEAC.L,2014-11-01,103.11280059814453,129.00999450683594,EUR
IEAC.L,2014-12-01,103.69490814208984,128.44000244140625,EUR
IEAC.L,2015-01-01,104.5910415649414,129.5500030517578,EUR
IEAC.L,2015-02-01,105.20462799072266,130.30999755859375,EUR
IEAC.L,2015-03-01,105.02700805664062,130.08999633789062,EUR
IEAC.L,2015-03-31,104.46186828613281,129.38999938964844,EUR
IEAC.L,2015-04-30,103.96131896972656,128.77000427246094,EUR
IEAC.L,2015-05-31,101.84942626953125,125.0199966430664,EUR
IEAC.L,2015-06-30,103.27505493164062,126.7699966430664,EUR
IEAC.L,2015-07-31,102.50112915039062,125.81999969482422,EUR
IEAC.L,2015-08-31,101.4176254272461,124.48999786376953,EUR
IEAC.L,2015-09-30,103.193603515625,126.66999816894531,EUR
IEAC.L,2015-11-01,103.79646301269531,127.41000366210938,EUR
IEAC.L,2015-12-01,103.00214385986328,126.43499755859375,EUR
